iter	Passed	Remaining
0	0	86
1	1	96
2	2	94
3	3	92
4	4	89
5	5	85
6	6	88
7	7	87
8	8	88
9	9	88
10	10	86
11	11	83
12	12	81
13	12	79
14	13	78
15	14	77
16	15	76
17	16	75
18	17	74
19	18	73
20	19	72
21	20	72
22	21	70
23	22	69
24	22	68
25	23	67
26	24	66
27	25	64
28	26	64
29	27	63
30	32	71
31	33	70
32	34	69
33	35	67
34	35	66
35	36	64
36	37	63
37	38	62
38	39	61
39	40	61
40	41	60
41	42	58
42	42	56
43	43	55
44	44	54
45	45	53
46	46	52
47	47	51
48	48	50
49	48	48
50	49	47
51	50	46
52	51	45
53	52	44
54	53	43
55	53	42
56	54	41
57	55	39
58	55	38
59	56	37
60	57	37
61	59	36
62	60	35
63	60	34
64	61	33
65	62	32
66	63	31
67	64	30
68	65	29
69	66	28
70	67	27
71	67	26
72	68	25
73	69	24
74	70	23
75	71	22
76	72	21
77	73	20
78	74	19
79	74	18
80	75	17
81	76	16
82	77	15
83	78	15
84	79	14
85	80	13
86	80	12
87	81	11
88	82	10
89	83	9
90	84	8
91	84	7
92	85	6
93	86	5
94	88	4
95	90	3
96	91	2
97	92	1
98	93	0
99	94	0
